;ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;0;43;67;13.109568540000001;23.061287340000003;12.5564934;11.88908688;35.52207486000001;15.750174600000001;24.56621088;22.38049368;15.016941600000003;22.817376779999996;35.25281136000002;13.78957254;12.400885560000003;6.64203072;24.89599836;4.57045356;9.30673632;13.76307246;14.162645400000002;14.72332728;52.640558940000005;34.71670848;24.117211020000003;54.941897759999996;37.79863488000001;41.8228287
1;3;72;14;20.766770339999997;17.61510732;21.392082419999998;18.07996488;30.075894840000004;11.25124776;15.003561420000002;12.20718906;23.308857059999998;9.921650280000001;13.7967381;19.79479026;19.5212355;23.99074848;15.3333489;22.544280419999996;21.394722659999996;28.61781714;17.35645236;15.314994600000002;37.004010179999995;25.154059020000002;14.554561560000003;39.305349;32.35245486000001;26.18627994
2;5;102;64;28.51341714;4.82097948;20.982649620000004;16.78566516;21.12817524;10.841814959999999;27.386133300000004;10.30131474;22.899424260000004;15.680567159999999;28.11600174000001;31.373058960000005;19.111802700000002;23.581315680000003;27.71592078000001;22.134847620000002;20.98528986;28.208384340000002;16.947019559999998;14.905561799999997;45.50374932;37.5366309;26.937133440000007;47.805088139999995;23.40473526;34.686019079999994
3;6;43;78;15.87968448;18.655677060000002;10.21808994;12.5014848;31.116464580000006;11.34456432;20.799675060000006;17.9748834;12.167610360000003;18.4117665;30.847201080000012;15.863043959999999;8.634349740000001;8.6683668;21.129462540000006;3.29868336;8.111332440000002;12.49130226;10.684903740000001;14.768523059999998;48.23494865999999;30.95017266;20.35067520000001;50.53628747999999;33.3930246;37.41721842
4;16;67;72;19.416351119999995;16.62524088;16.328119259999998;9.47674338;29.003024460000006;6.99088146;26.622597660000007;15.944447219999999;18.2448939;16.38133032;28.816764900000006;21.994823699999998;14.457272340000001;14.681892959999999;26.952385140000004;12.57530658;5.88734868;16.41631476;6.9269326200000005;4.0944981;46.20451248;36.773095260000005;26.173597800000007;48.505851299999996;31.279584480000004;35.38678224000001
5;18;7;30;20.935447980000003;32.4346239;21.468313199999997;32.80974372;44.89541142;25.123511160000003;15.6335865;27.323491980000004;23.9287614;25.0379532;28.564808940000002;19.85677884;18.462178799999997;25.487189100000002;15.963373980000002;22.93902744;26.15761632;30.286279860000004;24.46385058;28.547469900000003;52.12031309999998;25.784084099999998;15.184586640000001;54.42165191999999;47.17197143999999;41.30258286000001
6;19;40;55;5.101767779999999;26.34961482;14.490295980000003;10.92693396;38.81040234000001;19.03850208;22.248041220000005;23.94791592;17.187375000000003;23.310196140000002;32.31107532;8.3774832;15.09577608;3.91916214;22.577828700000005;9.3898005;14.452909439999999;18.437205419999998;18.3788415;16.150285979999996;54.681954360000006;32.39853882;21.79904136;56.983293180000004;41.086962360000015;43.86422412
7;20;77;37;20.69894622;17.363017680000002;21.13999278;16.340411460000002;29.823805200000006;10.999158119999999;19.579532399999998;11.14540278;23.05676742;4.342257900000001;20.309400840000002;19.501352459999996;19.269145860000005;23.738658840000003;19.90931988;22.29219078;21.142633019999998;28.365727500000002;17.10436272;13.399668239999999;38.212953240000004;29.73003;19.13053254;40.51429206;32.10036522000001;27.395223
8;21;34;72;16.26646824;21.36220584;8.15060382;15.63213018;33.82299336000001;14.051093100000003;21.555590820000006;20.68141218;11.412001440000001;21.118295279999998;33.55372986000001;16.249827719999995;9.382839359999998;9.055150560000001;21.885378300000003;6.4543725599999995;10.61796078;18.451996499999996;13.39143252;17.45480868;50.941477439999986;31.70608842;21.106590960000002;53.242816259999984;36.099553379999996;40.12374719999999
9;22;47;18;14.98370862;21.701317680000002;20.091016980000006;21.84037164;34.162105200000006;15.33745812;11.85445866;16.293399420000004;22.551465180000005;14.00786064;17.534716380000003;14.464960860000001;17.08488258;19.44814926;12.184246139999999;21.561731220000006;24.7803201;28.908983640000002;21.442662720000005;19.401204960000005;41.09022053999999;22.004956260000004;11.405458800000002;43.391559359999995;36.438665220000004;30.272490300000005
