ID_NODO_ORIGEN;ID_NODO_DESTINO;V0;T0;V1;T1;V2;T2;V3;T3;V4;T4;V5;T5;V6;T6;V7;T7;V8;T8;V9;T9;V10;T10;V11;T11;V12;T12;V13;T13;V14;T14;V15;T15;V16;T16;V17;T17;V18;T18;V19;T19;V20;T20;V21;T21;V22;T22;V23;T23;T_transporte;DISTANCIA
0;6;31.98383742;;31.98383742;;31.98383742;;31.98383742;;31.98383742;;21.7518304;;21.7518304;;21.7518304;;21.7518304;;21.7518304;;29.27337964;;29.27337964;;29.27337964;;29.27337964;;29.27337964;;22.7628397;;22.7628397;;22.7628397;;22.7628397;;22.7628397;;32.33683009;;32.33683009;;32.33683009;;32.33683009;;30.34227409;11
0;68;33.67355369;;33.67355369;;33.67355369;;33.67355369;;33.67355369;;24.97199482;;24.97199482;;24.97199482;;24.97199482;;24.97199482;;30.04397971;;30.04397971;;30.04397971;;30.04397971;;30.04397971;;23.06022426;;23.06022426;;23.06022426;;23.06022426;;23.06022426;;32.03487427;;32.03487427;;32.03487427;;32.03487427;;54.63953802;21
0;471;31.55413298;;31.55413298;;31.55413298;;31.55413298;;31.55413298;;24.19043077;;24.19043077;;24.19043077;;24.19043077;;24.19043077;;29.94550567;;29.94550567;;29.94550567;;29.94550567;;29.94550567;;24.59875815;;24.59875815;;24.59875815;;24.59875815;;24.59875815;;33.83129791;;33.83129791;;33.83129791;;33.83129791;;7.440958854;3
0;2184;31.34628627;;31.34628627;;31.34628627;;31.34628627;;31.34628627;;25.85832418;;25.85832418;;25.85832418;;25.85832418;;25.85832418;;28.99120254;;28.99120254;;28.99120254;;28.99120254;;28.99120254;;22.34303585;;22.34303585;;22.34303585;;22.34303585;;22.34303585;;34.06997753;;34.06997753;;34.06997753;;34.06997753;;18.79780361;7
0;3371;32.8641467;;32.8641467;;32.8641467;;32.8641467;;32.8641467;;22.38855692;;22.38855692;;22.38855692;;22.38855692;;22.38855692;;30.09936324;;30.09936324;;30.09936324;;30.09936324;;30.09936324;;23.83361017;;23.83361017;;23.83361017;;23.83361017;;23.83361017;;31.79860054;;31.79860054;;31.79860054;;31.79860054;;16.07964288;6
3;176;33.5379027;;33.5379027;;33.5379027;;33.5379027;;33.5379027;;24.41975019;;24.41975019;;24.41975019;;24.41975019;;24.41975019;;30.15480609;;30.15480609;;30.15480609;;30.15480609;;30.15480609;;21.73407941;;21.73407941;;21.73407941;;21.73407941;;21.73407941;;31.37994243;;31.37994243;;31.37994243;;31.37994243;;27.60641427;10
3;234;30.95250878;;30.95250878;;30.95250878;;30.95250878;;30.95250878;;24.15918696;;24.15918696;;24.15918696;;24.15918696;;24.15918696;;31.13551563;;31.13551563;;31.13551563;;31.13551563;;31.13551563;;23.60373489;;23.60373489;;23.60373489;;23.60373489;;23.60373489;;34.88801783;;34.88801783;;34.88801783;;34.88801783;;7.189778579;2.828427125
3;2375;32.71923334;;32.71923334;;32.71923334;;32.71923334;;32.71923334;;22.95216181;;22.95216181;;22.95216181;;22.95216181;;22.95216181;;29.71878938;;29.71878938;;29.71878938;;29.71878938;;29.71878938;;22.29286014;;22.29286014;;22.29286014;;22.29286014;;22.29286014;;34.47375911;;34.47375911;;34.47375911;;34.47375911;;13.45722344;5
3;725;34.92321239;;34.92321239;;34.92321239;;34.92321239;;34.92321239;;24.45643547;;24.45643547;;24.45643547;;24.45643547;;24.45643547;;28.06080198;;28.06080198;;28.06080198;;28.06080198;;28.06080198;;23.86645335;;23.86645335;;23.86645335;;23.86645335;;23.86645335;;33.66766481;;33.66766481;;33.66766481;;33.66766481;;15.0839337;6
5;719;30.94731216;;30.94731216;;30.94731216;;30.94731216;;30.94731216;;24.75585507;;24.75585507;;24.75585507;;24.75585507;;24.75585507;;31.55957985;;31.55957985;;31.55957985;;31.55957985;;31.55957985;;21.74362889;;21.74362889;;21.74362889;;21.74362889;;21.74362889;;34.1593153;;34.1593153;;34.1593153;;34.1593153;;2.759428994;1
